geneID,786_M1A_1,786_M1A_2,786_M1A_3,786_O_1,786_O_2,786_O_3,HK2_1,HK2_2,HK2_3
126792,1362,1260,1340,1886,1498,1626,1012,1376,1589
388581,5,2,5,9,4,10,5,10,11
118424,3822,3732,3752,4238,3375,3835,2135,2891,3245
6339,39,38,55,76,52,65,34,36,50
116983,1778,1689,1634,1873,1558,1718,786,1113,1008
102465434,0,0,0,0,0,0,0,0,0
126789,910,936,836,1001,853,878,655,1014,1067
54973,3734,3783,3631,4253,3388,3741,2365,2964,3294
102465435,1,1,1,2,3,1,1,4,6
80772,1807,1677,1581,1959,1534,1619,919,1192,1360
83756,32,41,35,48,45,40,16,18,23
1855,6458,6180,5859,6861,5425,5739,2222,3016,3278
102466740,0,0,0,0,0,0,0,0,0
54587,82,92,84,137,107,129,3780,4639,5477
54998,4368,3903,3736,4519,3500,3707,2672,3937,4129
81669,2179,2161,2264,2781,2445,2654,1670,2155,2163
148413,690,686,650,664,567,688,505,659,706
55052,2919,3127,2847,3464,2941,3197,1903,2912,3187
441869,2,0,0,1,0,0,2,3,1
643965,0,0,0,0,0,0,2,0,2
102724312,0,0,0,0,0,0,12,10,13
64856,6,10,10,204,148,193,89,108,146
219293,485,499,489,523,411,423,322,386,388
83858,3584,3509,3328,3193,2618,2731,2257,3125,3357
55210,7259,7119,6802,7388,6116,6246,3681,5246,5836
339453,10,5,12,6,3,11,0,3,8
29101,3507,3530,3500,4348,3487,3996,2228,3170,3561
643988,0,0,0,2,5,5,244,336,350
142678,1020,893,877,1248,965,996,606,777,787
8510,7,11,7,9,8,7,5,6,9
984,2315,2308,2327,2864,2482,2641,2530,3391,3970
728661,2575,2547,2574,3256,2768,3182,1803,2258,2452
8511,21,17,13,22,13,20,14,30,18
728642,1698,1566,1570,1950,1592,1642,2438,3035,3457
9906,590,561,549,779,567,712,837,1027,1081
65220,2485,2456,2402,2909,2528,2678,1907,2329,2638
2782,32244,34015,34048,36754,30678,35389,20001,25670,30685
105378949,6,5,3,4,10,8,2,4,10
163688,2,1,0,1,1,3,0,0,0
339456,33,51,32,52,42,44,26,48,22
85452,0,0,0,0,0,0,0,0,1
2563,0,0,0,0,0,0,0,3,1
5590,1,0,2,6,3,5,1719,2126,2463
100506504,33,16,22,48,35,47,32,31,31
199990,1457,1358,1173,1724,1258,1314,668,887,968
105378592,2,0,0,1,1,6,0,3,2
6497,2761,3094,2887,3465,2861,3146,2672,3119,4062
105378594,0,1,0,0,2,1,3,1,0
79906,128,135,139,162,161,170,131,148,153
100129534,35,41,40,50,51,50,3,10,7
11079,7052,7254,7265,8357,6872,7911,3596,5117,5315
5192,689,641,630,759,677,708,604,895,976
9651,0,1,2,1,0,0,0,0,0
55229,911,902,892,961,828,894,844,1047,1173
388585,0,0,0,0,0,0,1,1,0
115110,3,8,3,1,2,0,11,17,15
8764,262,266,232,56,49,69,263,307,315
100996583,0,0,0,0,1,0,0,0,2
127281,2384,2423,2297,1807,1462,1549,851,1017,1184
79258,0,0,0,0,0,0,0,0,0
100287898,2,2,2,5,3,5,3,2,3
140625,0,0,0,0,0,0,0,0,0
440556,0,0,0,0,0,0,0,0,0
63976,0,0,0,1,4,3,0,0,2
100422968,0,0,0,0,0,0,0,0,0
27237,409,404,403,276,226,265,932,1211,1286
1953,2888,2985,2820,1799,1426,1500,802,1047,1107
693135,0,0,0,0,0,0,0,0,0
127262,1526,1601,1497,1368,1114,1278,924,1298,1477
49856,888,924,860,853,712,791,610,746,818
7161,134,118,99,169,143,148,13,11,8
57212,403,431,449,650,542,595,55,69,71
148870,0,0,0,1,0,0,0,0,2
388588,0,0,0,6,6,3,10,16,15
57470,2458,2365,2306,2861,2242,2487,1865,2629,2886
9731,2343,2574,2480,2660,2249,2525,1903,2232,2864
1677,272,300,285,377,274,353,217,273,276
339448,1421,1498,1526,1720,1392,1529,973,1299,1416
100133612,28,23,15,27,19,24,2,9,6
728716,0,0,0,0,0,0,0,0,0
284661,0,0,0,0,0,0,0,0,0
55966,3,1,2,589,479,533,0,0,0
100616489,0,0,0,0,0,0,0,0,0
100616421,0,0,1,0,0,0,0,0,0
261734,674,671,621,840,661,766,584,676,804
8514,492,406,450,562,431,531,267,307,363
26038,0,2,5,2,6,2,3,3,3
6146,12387,13037,13338,13923,12056,13700,10742,14987,16426
102724450,7,6,3,4,1,1,2,1,0
388591,313,332,318,376,275,287,248,304,313
23463,9402,10427,10171,12239,10288,11561,5414,6723,7913
148645,4,1,4,6,4,8,6,5,8
390992,0,0,0,0,0,0,0,0,0
387509,130,134,98,92,97,138,407,487,558
11332,6773,6738,6513,7318,5876,6336,1690,2269,2503
54626,4,6,7,5,3,10,1,1,3
83715,4,7,5,28,26,42,7,5,9
100422975,0,0,0,0,0,0,0,0,0
8718,209,177,168,230,196,237,87,96,99
57449,630,633,630,765,675,777,390,519,562
79707,1017,1164,1069,1184,1082,1153,1364,1958,2217
80835,0,0,0,0,1,0,0,0,2
3104,347,338,307,370,309,349,294,399,435
9903,2074,2115,2109,2637,2100,2336,2035,2442,2987
148479,1557,1534,1493,1777,1433,1714,1530,1977,2300
90326,461,458,417,580,493,489,377,550,601
55735,2722,2941,2987,4047,3375,3739,2909,3720,4350
100505887,0,0,0,0,0,0,0,0,0
23261,1610,1741,1742,2118,1726,2025,1807,2413,2772
9341,9665,10316,10043,10592,8884,10261,4699,6312,7293
8863,1783,2096,1899,2208,1879,2142,1494,1713,2129
10911,0,1,1,0,0,0,1,2,0
3604,314,297,350,208,157,205,219,345,388
11315,9541,9805,9839,11431,9489,10691,7420,9885,10634
54206,15127,16603,16298,12342,11373,13721,2478,3321,3819
102724539,3,2,4,2,2,1,0,0,0
50651,125,119,103,102,71,84,6,7,7
473,4539,5157,4809,6283,5111,5590,2780,3064,4455
102724552,1,2,1,1,0,1,1,0,0
2023,143264,142314,144201,145836,120645,133588,95380,122675,139094
102465436,0,1,0,0,0,2,0,1,0
100505975,0,1,0,5,0,1,0,2,0
765,5,6,8,7,6,11,0,1,1
155184,0,0,0,0,0,1,0,0,0
6518,106,106,103,182,163,189,16,14,16
80045,282,333,263,327,250,288,33,36,49
407040,1,0,0,0,0,0,0,0,0
9563,2046,2218,2057,3121,2762,3139,1320,1461,1800
80176,918,1029,923,1221,943,1077,1026,1293,1473
100506022,14,17,10,28,27,24,16,19,26
84275,0,0,0,0,0,0,311,452,540
199953,1688,1765,1631,2039,1484,1767,1904,2356,2877
5293,2052,2169,2145,1948,1580,1757,1881,2279,2693
644997,0,0,0,0,0,0,0,0,0
101929074,5,5,7,8,7,13,12,14,12
22883,16107,17414,16789,22002,18121,19471,12841,15658,19714
56998,1544,1545,1524,1513,1253,1429,497,642,720
84328,1122,1342,1277,1517,1293,1545,1051,1416,1604
64802,567,548,613,590,522,580,383,546,581
100847055,0,0,0,0,0,0,0,0,0
105376719,1,0,0,0,1,0,1,1,0
116362,0,1,0,1,1,0,1073,1453,1629
10277,4291,4687,4618,6069,5097,5709,4958,6187,7793
23095,3500,4432,4048,5395,4790,4899,3015,3766,4632
100422970,0,0,0,0,0,0,0,0,0
5226,9814,9909,9781,11269,9160,10308,7409,9439,10893
100526739,0,0,0,0,0,0,0,0,0
378708,116,110,124,122,108,99,98,123,132
1325,10,8,6,3,7,6,1,6,1
1676,1939,2085,1910,2238,1811,2140,2946,3684,4461
5195,1139,1190,1183,1429,1095,1262,985,1267,1453
54897,746,734,647,448,332,409,82,87,131
148345,0,0,0,0,0,0,0,0,0
23435,10935,12046,12262,13548,11558,13162,9076,12148,13644
10747,33,31,34,33,38,44,26,33,24
6723,11054,11338,10292,11866,9447,10374,5214,7326,8422
5394,6242,6530,6398,7787,6274,7308,5186,6313,7944
2475,6030,7251,6720,7613,6414,6640,5591,6205,8264
100873935,0,0,0,0,0,0,0,0,0
10218,2,2,1,1,2,0,0,3,4
29914,1374,1603,1480,1842,1568,1781,928,1143,1425
57540,8,1,5,17,13,14,18,15,20
101929181,0,0,0,0,0,0,0,0,0
26232,1,2,2,5,6,6,334,391,452
93611,138,134,153,513,382,484,514,700,734
26270,58,98,58,218,176,188,167,198,224
10459,2928,2915,2801,3145,2507,2682,1563,2059,2201
374946,0,0,0,1,0,0,3,3,4
57085,1386,1319,1314,1647,1240,1459,1338,1634,2001
284498,0,0,0,0,0,1,1,1,0
102724659,0,0,0,0,0,0,0,0,0
4524,515,618,625,925,795,897,678,751,913
1185,563,592,599,801,620,715,790,933,1201
100379251,2,1,3,3,0,4,3,2,6
4878,6,1,2,2,2,4,2,3,0
4879,4,0,0,5,4,3,94,134,149
26829,0,0,1,0,1,1,0,0,1
90231,4173,4095,4122,4396,3653,4057,2273,2961,3430
5351,18909,19448,18460,21324,17460,19975,8911,11238,13052
9927,7035,7679,7547,9334,7792,8718,8994,11314,13025
60672,1182,1091,1014,1319,999,1081,832,1158,1266
102466982,0,0,0,0,0,0,0,0,0
943,4,1,0,4,2,1,308,489,481
102465836,0,0,0,0,0,0,0,0,0
7133,0,0,0,0,0,0,36,33,38
100616438,0,0,0,0,0,0,0,0,0
55187,2079,2820,2511,3372,3183,2868,1922,2177,3143
677885,2,1,1,3,2,0,2,2,0
9249,1530,1203,1270,1480,1059,1327,631,890,903
102466722,0,0,0,0,0,1,0,0,0
343066,0,0,0,0,0,0,0,0,0
126767,0,0,0,0,0,0,0,0,0
93190,0,0,0,0,0,0,0,0,0
390999,0,0,0,0,0,0,0,0,0
65121,0,0,0,0,0,0,0,0,0
440560,0,0,0,0,0,0,0,0,0
343069,132,148,158,164,143,132,138,209,216
65122,0,0,0,0,0,0,0,0,0
400735,0,0,0,0,0,0,0,0,0
343071,0,0,0,0,0,0,0,0,0
441871,0,0,0,0,0,0,0,0,0
440561,0,0,0,0,0,0,0,0,0
653606,0,0,0,0,0,0,0,0,0
102724742,0,0,0,0,0,0,0,0,0
101929983,0,0,0,0,0,0,0,0,0
649330,9,14,11,15,11,20,11,20,25
441873,0,0,0,0,0,0,0,0,0
649324,0,0,0,0,0,0,0,0,0
440563,146,167,166,214,168,193,192,261,334
645354,0,0,0,0,0,0,0,0,0
645359,0,0,0,0,0,0,0,0,0
101060301,0,0,2,1,0,1,0,1,2
343070,0,0,0,0,0,0,0,0,0
400736,0,0,0,0,0,0,0,0,0
391003,0,0,0,0,0,0,0,0,0
343068,0,0,0,0,0,0,0,0,0
391002,0,0,0,0,0,0,0,0,0
645382,0,0,0,0,0,0,0,0,0
653619,0,0,0,0,0,0,0,0,0
729528,0,0,0,0,0,0,0,0,1
645414,0,0,0,0,0,0,0,0,0
391004,0,0,0,0,0,0,0,0,0
645425,0,0,0,0,0,0,0,0,0
126755,0,0,0,0,1,0,0,0,0
10630,0,0,0,76,77,108,0,0,0
7799,1521,1671,1630,1932,1708,1940,1455,1713,2291
23254,1965,2054,1898,2157,1891,2017,1005,1206,1549
200197,22,17,18,10,13,10,5,2,1
55092,2314,2232,2346,1863,1551,1760,1272,1773,2052
727684,0,0,0,0,0,0,0,0,0
114827,74,77,58,26,25,23,28,27,37
101927417,46,39,32,1,5,3,1,7,7
79180,21523,21024,19843,11589,9116,10089,3565,4791,5325
11330,1,0,1,1,1,2,0,0,0
63036,0,0,1,2,0,0,2,1,0
51032,8,7,6,9,9,6,5,7,1
842,774,745,741,872,660,753,511,638,690
23341,1302,1442,1501,1586,1365,1555,1097,1243,1571
79814,11,19,16,5,4,1,430,601,698
84301,225,331,315,421,360,414,317,280,406
6248,156,273,236,297,280,303,211,272,297
23207,5576,5447,5273,5985,4806,5248,3338,4238,5023
284723,12,5,2,7,10,17,5,6,5
388595,0,0,0,0,0,0,0,0,1
54751,0,0,0,1,0,1,33,46,31
440567,1678,1702,1835,2117,1736,2074,1336,1829,1958
729614,91,93,80,135,101,94,49,61,46
23013,4432,5975,5158,6772,6212,6116,4591,4987,7288
7709,924,892,944,876,748,778,618,828,988
101928566,0,0,0,0,0,1,0,0,0
149563,0,0,0,0,0,0,0,0,0
27129,0,0,0,0,0,0,0,0,0
1187,0,0,0,0,0,0,0,1,1
1188,2,1,0,0,0,0,2,3,1
348487,41,18,33,41,31,44,3,4,5
1969,11413,12147,11451,13078,11121,11667,6436,8444,10096
128272,440,413,397,279,236,248,153,198,198
101927546,0,0,0,1,0,0,0,0,0
79363,88,101,84,111,83,86,63,85,112
54455,1293,1325,1291,1661,1427,1601,972,1231,1452
26099,11780,12248,11940,13856,11145,12487,8991,11356,13532
374955,0,0,1,0,0,0,0,0,0
55707,3238,3211,3135,3324,2628,3005,2518,3340,3708
114819,91,82,106,116,96,92,50,45,67
26871,0,0,0,0,0,0,0,0,0
100126512,2,0,0,0,0,0,0,0,0
100126517,0,0,0,0,0,0,0,1,0
102724970,0,0,0,0,1,1,0,3,0
100133301,0,0,0,0,0,0,0,0,1
7195,0,0,0,0,0,0,0,0,0
55672,866,1138,1085,1334,1194,1242,506,559,732
84809,474,438,446,441,363,414,265,324,340
11209,7,12,17,11,9,16,11,16,11
26869,0,0,0,0,0,0,0,0,0
729574,0,0,0,0,0,0,0,1,0
100126533,0,0,0,0,0,0,0,1,0
284729,0,0,1,0,0,0,0,1,0
100189045,0,0,0,0,0,0,0,0,0
102723383,0,0,0,0,0,0,0,0,0
6060,1,0,0,0,0,0,0,0,0
11223,1,4,2,0,2,1,3,6,2
100500876,0,0,0,0,0,0,0,0,0
100189298,0,0,0,0,0,0,0,0,0
7193,0,0,0,0,0,0,0,0,0
791226,0,0,0,0,0,0,0,0,0
9696,968,1009,899,934,807,877,353,493,522
26870,13,9,4,11,12,10,1,16,8
4237,3,6,2,5,4,7,1175,1624,1767
23400,3593,3556,3398,3818,2985,3319,2454,2974,3695
6390,3871,4065,3743,4257,3556,3929,3183,4596,4939
11240,0,0,0,2,2,3,15,6,9
29943,107,123,114,182,172,179,254,298,316
51702,6,10,4,19,26,18,50,61,67
100616188,0,0,0,0,0,0,0,0,0
23569,0,0,1,2,0,0,0,1,1
353238,0,0,0,0,0,0,0,0,0
55920,11337,11711,11768,14419,12119,13031,13333,17149,19577
55160,874,844,848,1314,1049,1147,964,1105,1294
81569,0,0,0,25,25,23,23,33,20
101927876,0,0,0,0,0,0,0,0,0
84966,1,0,1,0,0,0,0,1,0
127707,444,438,424,589,516,549,33,35,39
5081,0,0,0,0,0,0,0,0,0
80834,0,0,0,0,0,0,0,0,0
8659,1064,989,978,1191,967,998,1159,1327,1528
100616120,0,0,0,0,0,0,0,0,0
100302276,0,0,0,0,0,0,0,0,0
126917,3657,4169,4115,3540,3005,3241,5315,6655,7878
23352,9805,12504,11121,12642,11663,9639,8387,9667,15160
23065,8860,10294,9761,11454,10098,11016,6218,7473,9113
51154,4362,4621,4449,4861,4136,4541,2932,4154,4376
246181,5,12,7,9,11,8,7,17,7
22977,61,60,63,52,51,69,48,87,75
100506730,0,3,1,0,1,0,3,0,0
8574,2260,2242,2199,2477,2077,2388,1725,2400,2488
54896,676,675,688,943,757,801,934,1219,1393
832,17428,17749,18053,17110,14094,15841,11870,15989,18139
100532736,0,0,0,0,0,0,0,0,0
440574,2036,2029,2176,2328,1930,2215,1391,2033,2108
644068,35,26,26,36,31,40,32,33,44
4681,10,5,3,8,8,10,3,5,3
3362,0,2,2,2,0,0,3,7,7
255104,1306,1283,1174,1658,1311,1466,718,923,998
54546,0,0,0,1,0,0,0,0,2
23252,364,396,430,536,502,562,618,872,1043
30814,0,0,0,0,0,0,0,0,0
5320,0,0,0,0,0,0,0,0,0
5322,0,0,0,0,0,0,0,0,0
26279,0,1,0,0,0,0,0,0,0
64600,0,0,0,0,0,0,0,0,0
391013,0,0,0,0,0,0,0,0,0
127733,0,0,0,0,0,0,0,1,0
101928017,0,0,0,0,0,0,0,0,0
127731,0,0,0,0,0,0,0,0,0
339505,0,0,0,0,1,1,0,0,0
55450,956,1086,964,1901,1641,2002,244,366,384
79594,1960,2074,1983,2246,1867,2070,1207,1576,1853
163933,0,0,0,2,2,2,0,1,1
978,33,26,48,22,25,23,63,91,128
65018,821,791,779,643,501,508,670,946,1128
102464833,0,0,0,0,0,0,0,0,0
100861548,188,213,205,297,253,286,105,125,154
1650,15633,16277,15949,19508,16403,18847,11062,13912,15630
57576,4,0,3,8,9,8,47,56,61
400745,529,570,551,490,362,429,805,1060,1186
50809,6610,7118,7473,8191,6980,8225,5673,6856,8178
8672,5174,6191,6107,7199,6292,6805,7310,8950,10964
100302155,0,0,0,0,0,0,0,0,0
1889,24871,26355,24563,20283,17007,18488,6301,7771,9713
100506801,15,20,22,4,5,10,2,2,2
84224,200,277,264,369,300,373,419,528,627
249,0,1,0,1,0,1,10,6,13
5909,39,40,39,24,24,26,126,170,186
84196,3409,3647,3808,4022,3556,3984,2999,3915,4486
401944,5,4,8,3,2,6,4,3,6
3339,14762,19290,16072,20903,18693,15730,7280,7617,11334
23436,0,0,0,0,0,0,0,0,0
10136,0,0,0,0,0,0,0,0,0
101928043,2,0,0,1,0,1,1,2,0
29092,189,165,190,238,204,187,157,193,243
998,15201,16094,16229,16825,14533,16444,11102,14979,16739
54361,0,6,0,4,3,0,2,1,5
100616433,0,0,0,0,0,0,0,0,0
9923,1444,1685,1632,2173,1891,2016,1358,1561,1934
2046,0,0,0,0,0,0,0,0,0
102466615,0,0,0,0,0,0,0,0,0
712,0,0,0,0,0,0,0,0,0
714,0,0,0,0,0,0,0,0,0
713,0,0,0,0,0,0,0,0,0
2048,2467,2682,2499,3735,3068,3319,2229,2852,3320
100616391,0,0,0,0,0,0,0,0,0
100422914,0,0,0,0,0,0,0,0,0
646262,0,0,0,0,0,0,0,0,0
729059,0,0,0,1,0,0,2,0,2
23028,7286,7713,7719,9280,8006,8546,7933,10610,11919
100422866,0,0,0,0,0,0,0,0,0
100616177,0,0,0,0,0,0,0,0,0
7798,3494,4252,4038,4196,3761,3931,4531,5353,6721
3352,5,8,6,14,16,16,180,223,281
100996511,24,34,38,38,32,16,31,31,40
10236,16901,18231,17875,20235,17194,19564,13226,17481,20457
80818,733,820,742,995,873,1071,831,933,1198
148898,57,38,36,48,31,49,22,26,23
6920,47,61,58,37,24,33,1340,1803,1969
55616,250,223,250,623,528,595,1255,1497,1779
1870,580,629,549,828,689,788,217,260,328
101928163,0,0,0,1,0,0,0,0,0
3399,5574,5137,4807,9900,7460,7993,4932,6774,7444
259283,0,0,0,0,0,0,0,0,0
6135,30667,31465,31241,33205,28081,32123,25437,35592,38674
6924,3562,3920,3829,4716,4189,4475,3340,4252,5121
100506963,54,56,53,52,28,38,29,25,24
57095,2255,2332,2346,2134,1774,1887,1324,1845,1931
11313,1905,1870,1775,2276,1770,1989,1731,2128,2565
2582,3429,3408,3407,3441,2885,3148,2118,2744,2938
3155,728,716,761,934,786,950,818,1064,1069
2517,1187,1198,1200,1297,1111,1300,568,858,803
1269,0,1,0,0,0,1,0,0,0
100616492,0,0,0,0,0,0,0,0,0
55629,5024,5294,5291,5643,4893,5582,5725,7651,8545
10772,4827,5331,5382,5942,5413,6134,4203,5682,6368
127294,263,338,309,493,442,444,624,721,844
58985,52,56,50,110,71,87,122,147,163
163702,124,125,96,312,260,284,391,437,509
284632,0,0,0,0,0,0,0,0,0
57822,0,2,1,2,0,0,5,1,2
90529,784,826,779,805,649,733,415,519,547
57185,1749,1892,1868,2693,2168,2533,2349,2927,3580
100750325,0,0,0,0,0,0,0,0,0
11123,928,1062,1042,1256,1051,1184,826,1068,1446
100506985,164,134,170,204,157,173,107,140,165
400746,0,0,0,0,0,0,0,0,0
10250,5340,5588,5764,7121,5810,6306,4221,5354,6697
25932,25552,29115,28863,23588,20689,23502,17302,22134,26238
864,7,4,3,31,22,14,116,164,197
102465437,0,0,0,0,0,0,0,0,0
100616365,0,0,0,0,0,0,0,0,0
25949,1512,1583,1526,1826,1540,1708,1420,2069,2180
57035,921,806,895,811,753,795,569,754,784
6007,8,9,3,6,11,9,7,15,11
23585,1686,1782,1796,1980,1536,2013,1782,2372,2663
6006,13,17,14,11,11,11,14,12,19
55219,1753,1877,1907,1909,1552,1945,1485,1804,2439
26119,2179,2262,2115,2302,1884,2120,856,1193,1332
57134,2,8,0,8,8,15,16,15,24
57190,5122,5717,5259,6532,5349,6271,4776,5467,6986
56181,980,961,1038,1152,989,1144,725,955,1034
646471,15,14,28,32,27,31,13,21,25
79000,570,608,565,577,571,584,433,566,730
164091,303,318,292,70,58,63,684,894,1007
3925,16395,16095,17264,18442,15614,17482,14829,20713,22618
100500808,0,0,0,0,0,0,0,0,0
5051,820,841,895,963,807,910,617,808,948
2134,2,0,1,4,5,3,0,4,2
7780,0,0,0,0,0,0,0,4,4
105376910,0,0,0,0,0,0,0,0,0
84676,0,0,0,0,0,0,1,0,3
149420,708,760,771,839,754,870,446,548,620
79927,0,0,0,0,0,0,5,3,14
105376887,0,0,0,0,0,0,0,0,0
51042,1228,1189,1027,1146,973,996,531,858,847
10256,4,8,10,13,14,11,131,136,152
378807,0,0,0,0,0,0,0,0,0
101928303,0,0,0,0,0,0,0,0,0
64793,2738,2941,2862,3050,2640,2992,1857,2274,2689
83442,16166,15129,15252,13783,10995,12760,7106,9660,11818
91544,985,947,937,1117,968,1053,464,593,615
1043,0,0,2,1,2,7,4,4,5
55057,13,6,4,8,7,9,127,183,227
257101,0,0,0,0,0,0,0,0,0
79727,0,0,0,1,0,0,111,146,164
79947,2022,2227,2088,2213,1864,2183,1510,1927,2249
101928324,4,1,1,3,0,2,1,3,0
3151,12478,12171,13039,14860,11777,13300,13206,18665,20248
6195,3193,3225,3216,3249,2586,2939,2894,3551,4085
100302190,0,0,0,0,0,0,0,0,0
101928728,42,43,41,57,50,59,35,43,45
8289,5617,6723,6197,8233,7076,7044,4904,5515,8017
55650,502,507,565,671,528,626,359,513,543
84243,3864,3781,3862,4288,3473,3919,1644,2132,2661
2810,149,152,129,280,186,208,980,1255,1434
54707,943,992,874,1080,830,954,858,1128,1309
63906,631,652,570,717,579,654,493,798,809
10726,12522,12650,12461,13408,11159,12318,7663,10294,11933
8431,0,1,1,0,0,0,2,4,7
126695,3,5,3,5,7,9,51,68,67
388610,1672,1677,1564,1871,1559,1764,2489,3653,4066
115572,2,5,4,47,39,42,378,536,542
6548,1641,1662,1632,2506,2056,2187,1598,1884,2402
23038,1528,1525,1491,1717,1416,1630,1518,1752,2265
84065,2081,2185,2047,2375,1885,2138,1246,1603,1761
644961,2922,3104,3236,2810,2623,2419,1846,2296,2479
100887744,0,0,0,0,0,0,0,0,0
84958,7,3,3,16,19,13,70,92,108
9064,1608,1522,1447,1492,1197,1301,722,890,1009
8547,1,2,0,1,3,1,1,2,1
388611,0,0,0,0,0,0,0,0,0
2827,92,96,88,66,67,68,150,183,223
10163,11508,12321,12216,13409,11364,12513,6630,7660,9498
27245,2501,2560,2316,3040,2443,2557,1462,1784,2205
2268,0,0,0,0,1,0,0,0,0
2537,1387,1183,1168,3328,2926,2973,138,203,240
199870,350,371,372,360,297,376,228,289,317
23673,1757,1771,1865,1784,1577,1780,1346,1851,2164
5511,3235,3435,3294,3857,3298,3615,2251,3100,3416
677774,0,0,0,0,0,2,0,0,0
9473,42,32,41,6,8,8,218,308,316
6118,2722,2797,2665,3290,2810,3100,2798,3696,4042
27293,24,13,17,93,88,114,222,316,296
55113,598,532,587,708,536,636,366,541,622
2140,2583,2943,2894,2739,2355,2622,1923,2278,2785
5724,2,9,2,7,8,14,60,60,63
22826,6439,6573,6591,7672,6480,7169,5159,7344,8009
93974,4033,4058,3941,4147,3279,4005,2021,2882,3190
83667,937,1019,1015,1075,867,1044,1051,1269,1468
54797,638,621,639,894,793,803,399,562,574
65979,3316,4109,3935,5249,4244,4950,3896,4293,5712
1104,5974,6347,6229,7245,5781,6873,3728,4910,5698
8420,814,724,785,916,719,817,243,304,353
6080,36,30,20,24,26,32,8,14,12
26768,21,21,14,21,9,10,6,6,3
54952,1161,1174,1111,1166,949,1086,938,1315,1429
85028,570,583,623,580,517,620,198,283,337
692212,18,24,20,16,20,18,6,8,6
677838,71,65,77,92,79,80,24,22,25
677825,18,12,24,27,28,19,10,5,11
692073,19,15,18,15,12,22,9,6,6
115273,366,382,433,445,386,381,34,40,40
6883,1663,1855,1780,1702,1376,1538,1011,1459,1586
26824,1,1,0,3,1,0,0,1,1
10691,404,477,400,496,395,438,359,417,553
105376911,0,0,0,0,0,0,0,0,0
51441,3939,4133,4202,4990,4123,4823,3977,5157,6003
4985,0,0,0,0,0,0,16,13,16
2035,1270,1453,1337,1756,1472,1761,1736,2080,2673
399474,905,814,787,759,563,730,613,747,752
6429,4878,4893,4993,6053,5050,5496,2994,3852,4424
51102,1067,1057,966,1060,895,998,548,735,844
10076,179,209,199,239,223,253,25,35,48
101928460,0,0,0,0,0,0,0,0,0
101929406,0,0,0,0,0,0,0,0,0
4146,11,13,6,10,17,7,6,5,6
100129196,9,24,24,14,15,16,11,13,11
7805,15,28,29,68,99,84,157,261,273
100616164,0,0,0,0,0,0,0,0,0
400748,0,0,0,0,0,0,0,0,0
9672,5715,5991,5503,2659,2197,2575,3090,3712,4303
9698,3672,4449,4166,5341,4657,5126,5412,6559,8214
692234,0,0,0,0,1,1,1,0,0
692235,0,4,0,0,2,2,2,7,2
692200,0,0,0,0,0,0,0,0,0
79570,0,0,0,1,1,0,16,17,15
9410,3388,3564,3431,3943,3434,3781,2954,3995,4356
51538,1910,2009,1983,1993,1643,1839,1874,2458,2720
2170,28,43,46,38,36,35,13,8,12
347735,4721,4864,4571,3989,3132,3393,478,648,758
149086,0,0,0,0,0,0,0,0,0
284551,0,1,0,2,1,0,0,0,1
64129,3992,3766,3573,5823,4403,4908,2347,2921,3418
3061,0,0,0,0,1,3,1,0,0
553115,3542,3723,3594,4014,3283,3699,2542,3378,3784
